Size,time
10,22
11,27
12,32
13,37
14,43
15,49
16,55
17,62
18,69
19,77
20,85
21,99
22,103
23,112
24,122
25,132
26,143
27,154
28,165
29,178
30,191
31,202
32,221
33,229
34,243
35,258
36,272
37,288
38,303
39,319
40,336
41,354
42,370
43,388
44,405
45,424
46,443
47,463
48,482
49,503
50,524
51,544
52,610
53,588
54,612
55,665
56,691
57,711
58,704
59,728
60,753
61,778
62,804
63,830
64,858
65,885
66,911
67,941
68,969
69,997
70,1026
71,1054
72,1085
73,1114
74,1147
75,1177
76,1209
77,1240
78,1283
79,1306
80,1374
81,1373
82,1407
83,1444
84,1477
85,1513
86,1623
87,1636
88,1671
89,1742
90,1743
91,1736
92,1881
93,1811
94,1958
95,1887
96,1947
97,1966
98,2140
99,2050
